run_name,task,epoch,train_loss,val_loss,val_dice,val_iou,epoch_sec,eta_min
fold0_supdeep,supdeep,1,0.6646114669348064,0.692526578262288,0.09355712619920571,0.05196416253844897,387.04845118522644,380.5976436654727
fold0_supdeep,supdeep,2,0.6213849833137111,0.613095534745083,0.7012796501318613,0.5418751140435537,385.55650639533997,373.4257294972738
fold0_supdeep,supdeep,3,0.6028158100027787,0.6037086850853377,0.6866511404514313,0.5252101570367813,387.90962386131287,367.4962841232618
fold0_supdeep,supdeep,4,0.5876235641931232,0.5807734894496138,0.7343072394529978,0.5853954950968424,392.02076625823975,362.25824779669443
fold0_supdeep,supdeep,5,0.5751939660624454,0.5702300584444435,0.7620056172211965,0.617865135272344,389.30609798431396,356.0042650421461
fold0_supdeep,supdeep,6,0.5663713116394846,0.5605884380238031,0.7617060939470927,0.6168261667092642,427.9491662979126,355.46859179735185
fold0_supdeep,supdeep,7,0.5553406884795741,0.5476762613942546,0.7727398971716563,0.6320374011993408,407.9561722278595,350.52518943604974
fold0_supdeep,supdeep,8,0.5429757331546984,0.5347844150758558,0.8120452165603638,0.6838195820649465,398.9157235622406,344.1384383420149
fold0_supdeep,supdeep,9,0.5347865663076702,0.5320627311224578,0.7845587631066641,0.6466959218184153,400.4115877151489,337.83477568493953
fold0_supdeep,supdeep,10,0.522444078169371,0.518212180624726,0.7339829504489899,0.5883136987686157,397.8015444278717,331.2396366596222
fold0_supdeep,supdeep,11,0.5116510275163149,0.5061063869025118,0.799792875846227,0.6682049135367075,398.68811774253845,324.7039759473367
fold0_supdeep,supdeep,12,0.49826972735555547,0.49807603705313896,0.7955470681190491,0.6626321276028951,397.07493782043457,318.04257969856263
fold0_supdeep,supdeep,13,0.4908527339759626,0.48077832306585006,0.8331254621346792,0.7142814993858337,399.8479104042053,311.55496214933885
fold0_supdeep,supdeep,14,0.4773728834955316,0.470149528595709,0.8106280565261841,0.6851051052411398,397.8538634777069,304.9329304649716
fold0_supdeep,supdeep,15,0.465169422250045,0.45583983871244615,0.8237219949563345,0.700700710217158,397.5517337322235,298.29461015462874
fold0_supdeep,supdeep,16,0.45276176427540027,0.4443173555917637,0.837670773267746,0.7209723591804504,396.81440830230713,291.62405302226546
fold0_supdeep,supdeep,17,0.43799197862022804,0.43340805493375306,0.8402384519577026,0.7252924144268036,397.5658075809479,284.991876486236
fold0_supdeep,supdeep,18,0.4245216313161348,0.4193650182857308,0.8315482934316,0.7145048876603445,398.5421280860901,278.3983434968524
fold0_supdeep,supdeep,19,0.4083986410969182,0.40022285234543586,0.8693142235279083,0.769650270541509,398.38142251968384,271.79389013407524
fold0_supdeep,supdeep,20,0.393050479888916,0.3734170666304968,0.8672828475634257,0.7658350467681885,403.0341398715973,265.34100364844005
fold0_supdeep,supdeep,21,0.37542389756754824,0.3619486670340261,0.848649779955546,0.737793912490209,397.4040231704712,258.68867553358984
fold0_supdeep,supdeep,22,0.35286209332315543,0.3488724577811457,0.8360830148061117,0.7210061550140381,398.49884247779846,252.07049473776962
fold0_supdeep,supdeep,23,0.330439187351026,0.3118944376386622,0.8819683094819387,0.7894291778405508,397.00443148612976,245.410205828798
fold0_supdeep,supdeep,24,0.30537038257247523,0.2941413547403069,0.8655375043551127,0.7638979355494181,398.25840616226196,238.78489531874658
fold0_supdeep,supdeep,25,0.2798005747167688,0.28170376887885473,0.8491922716299692,0.7419342199961344,398.11562156677246,232.15526680072148
fold0_supdeep,supdeep,26,0.2669406981844651,0.25563683657235997,0.8725263973077139,0.7745062510172526,398.16063237190247,225.52618606885275
fold0_supdeep,supdeep,27,0.24470351683466057,0.23503995582621584,0.8901063104470571,0.8025610645612081,397.9774613380432,218.892860756097
fold0_supdeep,supdeep,28,0.22835549194561808,0.22375582366861324,0.8681111435095469,0.7680187622706095,398.39315485954285,212.26747967402142
fold0_supdeep,supdeep,29,0.21122358660948903,0.21384925114852127,0.8813329438368479,0.7889385223388672,400.2139399051666,205.6735375324885
fold0_supdeep,supdeep,30,0.20189881795331052,0.1994352109970585,0.8834963738918304,0.7921450436115265,397.2908687591553,199.02579152584076
fold0_supdeep,supdeep,31,0.18674091351659675,0.19523088553900358,0.8650977611541748,0.7636383175849915,397.6862246990204,192.38590202754543
fold0_supdeep,supdeep,32,0.17462779973682604,0.18236710980374327,0.8716945350170135,0.7732563118139902,397.0505967140198,185.73747956405083
fold0_supdeep,supdeep,33,0.17243474408199913,0.18368843646459682,0.8657041291395823,0.7656966547171274,397.9384217262268,179.10303729122333
fold0_supdeep,supdeep,34,0.16150249917256204,0.17303256706524922,0.872483511765798,0.776543398698171,397.2421326637268,172.45984634862228
fold0_supdeep,supdeep,35,0.15439935405003397,0.166513692948126,0.874667207400004,0.778521865606308,398.39040541648865,165.83161039011821
fold0_supdeep,supdeep,36,0.15210848670256766,0.16560166096815498,0.8834719558556875,0.7928141355514526,399.6392822265625,159.21660616662766
fold0_supdeep,supdeep,37,0.1476829696642725,0.15822676529166518,0.8883797228336334,0.8003264665603638,397.21964716911316,152.57406605847248
fold0_supdeep,supdeep,38,0.13857588438611282,0.1577794103212254,0.8752844333648682,0.7800337771574656,401.5067958831787,145.97406226187422
fold0_supdeep,supdeep,39,0.1375502242853767,0.1435371603696577,0.8936551411946615,0.8089424669742584,398.40114760398865,139.34148079431972
fold0_supdeep,supdeep,40,0.13361975472224386,0.14179687346181563,0.892399658759435,0.8063099980354309,397.8167266845703,132.70365726947784
fold0_supdeep,supdeep,41,0.13170779002340216,0.1402123346123644,0.8961899181207021,0.8124512632687887,397.6545147895813,126.06494892496404
fold0_supdeep,supdeep,42,0.13080889206183585,0.15227486064998053,0.876736988623937,0.7814174989859263,399.081330537796,119.43696226903371
fold0_supdeep,supdeep,43,0.1250389543018843,0.14022975711412328,0.8938696086406708,0.8095381955305735,397.0457308292389,112.7944758234098
fold0_supdeep,supdeep,44,0.1235887149446889,0.13134668126542082,0.8975288470586141,0.814765602350235,398.88316106796265,106.16426430037527
fold0_supdeep,supdeep,45,0.11890296057650918,0.13670396708673047,0.8946556548277537,0.8110824028650919,400.89311122894287,99.54442622661591
fold0_supdeep,supdeep,46,0.1169513928262811,0.1348330255157204,0.8964451750119528,0.8131623367468516,397.9273133277893,92.90686104263085
fold0_supdeep,supdeep,47,0.11488582750684337,0.13094673041374452,0.8818661073843638,0.7893000543117523,399.7571864128113,86.27796307337199
fold0_supdeep,supdeep,48,0.11565443567539516,0.12775145374959515,0.8994134763876597,0.817912369966507,397.4003973007202,79.63784007430077
fold0_supdeep,supdeep,49,0.11505188816472103,0.13585374624498428,0.8870254456996918,0.7982289493083954,399.4767713546753,73.00617084389641
fold0_supdeep,supdeep,50,0.11525788487572419,0.13224428924181128,0.8902501463890076,0.8030789991219839,398.2778055667877,66.36945398251216
fold0_supdeep,supdeep,51,0.11826082703314329,0.1320562542125743,0.8805206517378489,0.7875916560490926,397.29156279563904,59.72978752220378
fold0_supdeep,supdeep,52,0.11130336703438508,0.12190032806447758,0.9028736849625906,0.8236876825491587,397.93136715888977,53.09245929412353
fold0_supdeep,supdeep,53,0.1074114032481846,0.12055257251185755,0.9046531220277151,0.826115200916926,399.2804710865021,46.45829470772413
fold0_supdeep,supdeep,54,0.10540140584895485,0.12281366253411898,0.8987388610839844,0.8168270289897919,398.2675766944885,39.82149476386883
fold0_supdeep,supdeep,55,0.10310514584967964,0.12267232037359668,0.8925873041152954,0.8070063591003418,398.0323328971863,33.18430228088842
fold0_supdeep,supdeep,56,0.1038971411554437,0.12448481302107534,0.8992528120676676,0.8175047735373179,400.5912356376648,26.55027469169526
fold0_supdeep,supdeep,57,0.10592153425279417,0.11645778805337927,0.9007599651813507,0.8200138409932455,397.8496444225311,19.912351215303993
fold0_supdeep,supdeep,58,0.10302026797282068,0.12973961041819665,0.8909020721912384,0.804298092921575,397.4526834487915,13.274444292468587
